Nom,Type_eau,Categorie_mineralisation,Gazeuse,Origine_geographique,Proprietaire,Annee_reconnaissance_officielle,pH,Conductivite_µS_cm,Residu_sec_180C_mg_L,Bicarbonates_mg_L,Calcium_mg_L,Magnesium_mg_L,Sodium_mg_L,Potassium_mg_L,Chlorures_mg_L,Sulfates_mg_L,Nitrates_mg_L,Fluorures_mg_L,Silice_mg_L,TFA_ng_L,PFOA_ng_L,PFOS_ng_L,Somme_PFAS_ng_L,Metabolites_pesticides_pertinents_µg_L,Metabolites_pesticides_non_pertinents_µg_L,Microplastiques_particules_L,Activite_alpha_globale_Bq_L,Activite_beta_globale_Bq_L,Tritium_Bq_L,DTI_mSv_an,Uranium_µg_L,Radon_222_Bq_L,Residus_medicamenteux_detection,Bisphenols_µg_L,Phtalates_µg_L,AJR_Calcium_pourcentage_1L,AJR_Magnesium_pourcentage_1L,Mentions_therapeutiques_validees,Contre_indications_medicales,Coefficient_variation_composition,Date_derniere_analyse,Laboratoire_controle,Stabilite_microbiologique,Type_conditionnement,Empreinte_carbone_kg_CO2_L,Empreinte_hydrique_L_eau_L_produit,Taux_recyclage_emballage_pourcentage,Conformite_EU_2008_100_CE,Conformite_ANSES_2025,Mentions_obligatoires_etiquetage,Restrictions_usage
Evian,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Cachat, Evian, Haute-Savoie (74)",Danone Waters France,1878,7.2,450,309,360.0,26.0,24.0,6.5,1.0,4.5,10.0,3.8,0.12,14.0,180.0,1.2,0.8,2.5,0.02,0.15,0.8,0.03,0.08,2.1,0.002,0.05,15.0,Négatif,0.003,0.18,3.3,6.4,Convient pour l'alimentation des nourrissons,Aucune,4.2,2025-07-15,ANSES - Laboratoire de Nancy,Conforme,Bouteille PET recyclée 50%,0.15,1.8,67.0,Conforme,Conforme,Eau minérale naturelle,Aucune
Volvic,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Volvic, Massif Central",Danone Waters France,1898,7.1,195,130,33.9,287.2,20.3,3.4,3.7,48.7,5.6,6.4,1.95,23.7,82.5,0.5,0.3,3.0,0.008,0.06,0.4,0.073,0.11,1.6,0.009,0.21,40.7,Non détecté,0.009,0.34,35.9,5.4,Selon composition minérale,Aucune,10.5,2025-07-03,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.17,1.3,81.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Mont Roucous,Eau minérale naturelle,Très faiblement minéralisée (<50 mg/L),Non,"Source Mont, Sud",Groupe régional,1884,7.2,33,22,12.9,188.6,16.4,13.8,12.2,7.3,98.1,17.8,0.61,16.6,292.5,2.2,1.6,5.3,0.047,0.29,1.3,0.044,0.13,0.8,0.004,0.08,23.0,Traces détectées,0.005,1.32,23.6,4.4,Selon composition minérale,Aucune,28.8,2025-07-07,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.33,2.3,84.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Wattwiller,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Wattwiller, Vosges",Groupe régional,1894,6.9,232,155,50.1,471.4,19.4,5.6,6.0,42.4,148.4,9.1,1.14,33.3,546.5,4.4,2.9,9.5,0.116,0.68,1.9,0.058,0.19,4.0,0.007,0.17,29.4,Traces anti-inflammatoires,0.043,1.22,58.9,5.2,Selon composition minérale,Aucune,9.7,2025-07-30,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.3,2.3,69.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Thonon,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Thonon, Alpes",Groupe régional,1957,7.4,513,342,73.7,218.3,88.4,37.9,2.6,28.5,129.5,17.2,1.75,29.5,101.2,0.7,0.5,3.3,0.013,0.09,0.4,0.023,0.07,1.6,0.002,0.04,13.0,Non détecté,0.014,0.88,27.3,23.6,Selon composition minérale,Aucune,2.6,2025-07-13,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.26,1.5,84.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Plancoët,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Plancoët, Bretagne",Groupe régional,1917,7.5,385,257,118.3,215.7,82.7,26.0,2.4,37.7,75.3,6.8,0.96,37.5,1254.7,17.1,11.4,30.9,0.855,4.79,6.6,0.108,0.32,13.1,0.043,0.86,77.6,Antibiotiques vétérinaires,0.064,0.74,27.0,22.0,Selon composition minérale,Aucune,19.9,2025-07-25,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.26,2.6,52.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Celtic,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Celtic, Bretagne",Groupe régional,1985,7.2,363,242,120.0,405.2,12.2,48.3,10.3,20.1,101.9,13.7,1.63,5.1,873.1,11.9,7.9,21.5,0.595,3.33,4.6,0.075,0.22,9.1,0.03,0.6,54.0,Antibiotiques vétérinaires,0.073,0.7,50.6,3.2,Selon composition minérale,Aucune,29.5,2025-07-22,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.18,1.7,76.3,Conforme,Conforme,Eau minérale naturelle,Aucune
Alizée,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Alizée, Centre",Groupe régional,1964,7.9,466,311,127.0,23.3,26.7,23.9,0.7,46.0,82.4,0.8,1.47,36.8,557.4,4.8,2.9,9.8,0.148,0.94,2.3,0.029,0.18,1.0,0.004,0.07,12.3,Herbicides détectés,0.021,1.11,2.9,7.1,Selon composition minérale,Aucune,3.3,2025-07-08,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.22,1.3,75.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Treignac,Eau minérale naturelle,Très faiblement minéralisée (<50 mg/L),Non,"Source Treignac, Massif Central",Groupe régional,1956,7.7,48,32,8.8,286.8,72.7,10.8,14.7,41.7,47.5,2.5,0.8,30.4,94.3,0.6,0.3,2.5,0.009,0.07,0.4,0.083,0.12,1.8,0.01,0.24,46.6,Non détecté,0.017,1.12,35.9,19.4,Selon composition minérale,Aucune,13.1,2025-07-21,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.21,2.5,72.9,Conforme,Conforme,Eau minérale naturelle,Aucune
Valvert,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Valvert, Import",Groupe régional,1905,7.5,667,445,144.9,81.1,41.5,27.9,3.3,38.4,129.3,18.6,1.44,29.2,59.3,0.4,0.3,3.1,0.005,0.03,0.3,0.023,0.07,0.9,0.002,0.04,10.9,Contrôles renforcés,0.053,0.41,10.1,11.1,Selon composition minérale,Aucune,9.5,2025-07-05,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.18,1.7,48.8,Conforme,Conforme,Eau minérale naturelle,Aucune
Sainte-Marguerite,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Sainte-Marguerite, Centre",Groupe régional,1967,6.9,600,400,84.8,411.2,61.1,8.7,3.7,49.2,145.3,16.4,1.39,29.8,711.7,6.1,3.7,12.0,0.188,1.2,2.9,0.037,0.23,1.3,0.005,0.09,15.7,Herbicides détectés,0.036,0.1,51.4,16.3,Selon composition minérale,Aucune,17.2,2025-07-24,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.23,2.6,58.0,Conforme,Conforme,Eau minérale naturelle,Aucune
Amanda,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Amanda, Sud",Groupe régional,1947,7.3,465,310,178.8,497.3,35.4,36.8,2.1,2.1,141.6,15.9,1.04,21.0,355.0,2.7,1.9,6.8,0.057,0.36,1.5,0.053,0.15,1.0,0.005,0.1,27.9,Traces détectées,0.066,0.28,62.2,9.4,Selon composition minérale,Aucune,4.2,2025-07-08,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.34,1.8,81.8,Conforme,Conforme,Eau minérale naturelle,Aucune
La Cairolle,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source La, Sud",Groupe régional,1925,7.0,600,400,164.7,249.8,19.8,29.3,8.7,45.3,82.4,13.0,0.48,9.7,333.9,2.5,1.8,4.9,0.054,0.33,1.4,0.05,0.14,1.0,0.005,0.1,26.2,Traces détectées,0.034,1.43,31.2,5.3,Selon composition minérale,Aucune,24.3,2025-07-19,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.27,2.4,77.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Nessel,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Nessel, Vosges",Groupe régional,1884,6.8,480,320,143.5,495.4,61.2,34.8,10.8,48.0,131.4,12.7,1.05,34.2,537.6,4.3,2.9,8.4,0.114,0.67,1.9,0.057,0.19,3.9,0.007,0.17,28.9,Traces anti-inflammatoires,0.029,0.14,61.9,16.3,Selon composition minérale,Aucune,10.2,2025-07-20,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.3,2.7,47.9,Conforme,Conforme,Eau minérale naturelle,Aucune
