Nom,Type_eau,Categorie_mineralisation,Gazeuse,Origine_geographique,Proprietaire,Annee_reconnaissance_officielle,pH,Conductivite_µS_cm,Residu_sec_180C_mg_L,Bicarbonates_mg_L,Calcium_mg_L,Magnesium_mg_L,Sodium_mg_L,Potassium_mg_L,Chlorures_mg_L,Sulfates_mg_L,Nitrates_mg_L,Fluorures_mg_L,Silice_mg_L,TFA_ng_L,PFOA_ng_L,PFOS_ng_L,Somme_PFAS_ng_L,Metabolites_pesticides_pertinents_µg_L,Metabolites_pesticides_non_pertinents_µg_L,Microplastiques_particules_L,Activite_alpha_globale_Bq_L,Activite_beta_globale_Bq_L,Tritium_Bq_L,DTI_mSv_an,Uranium_µg_L,Radon_222_Bq_L,Residus_medicamenteux_detection,Bisphenols_µg_L,Phtalates_µg_L,AJR_Calcium_pourcentage_1L,AJR_Magnesium_pourcentage_1L,Mentions_therapeutiques_validees,Contre_indications_medicales,Coefficient_variation_composition,Date_derniere_analyse,Laboratoire_controle,Stabilite_microbiologique,Type_conditionnement,Empreinte_carbone_kg_CO2_L,Empreinte_hydrique_L_eau_L_produit,Taux_recyclage_emballage_pourcentage,Conformite_EU_2008_100_CE,Conformite_ANSES_2025,Mentions_obligatoires_etiquetage,Restrictions_usage
Evian,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Cachat, Evian, Haute-Savoie (74)",Danone Waters France,1878,7.2,246,309,249.8,26.0,24.0,6.5,3.0,11.0,28.8,3.8,1.2,18.4,161.3,1.2,0.6,3.8,0.018,0.17,1.1,0.024,0.16,8.7,0.006,0.11,17.1,Non détecté,0.029,1.08,3.2,6.4,Selon composition minérale,Aucune,10.5,2025-08-27,ANSES - Laboratoire de Nancy,Conforme,Bouteille verre,0.18,2.6,45.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Volvic,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Volvic, Massif Central",Danone Waters France,1898,7.1,1129,130,967.4,287.2,20.3,3.4,1.5,12.8,85.4,6.4,0.14,6.2,139.2,0.8,0.8,2.8,0.036,0.07,6.2,0.028,0.06,1.3,0.011,0.2,66.2,Non détecté,0.019,1.13,35.9,5.4,Selon composition minérale,Aucune,11.9,2025-08-07,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.11,2.3,61.0,Conforme,Conforme,Eau minérale naturelle,Aucune
Mont Roucous,Eau minérale naturelle,Très faiblement minéralisée (<50 mg/L),Non,"Source Mont, Sud",Groupe régional,1884,7.2,796,22,640.6,188.6,16.4,13.8,3.4,23.9,69.0,17.8,0.15,10.2,140.4,0.3,0.6,1.5,0.025,0.34,2.9,0.028,0.14,11.7,0.008,0.26,20.3,Non détecté,0.056,1.39,23.6,4.4,Selon composition minérale,Aucune,23.7,2025-07-22,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.36,2.1,76.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Wattwiller,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Wattwiller, Vosges",Groupe régional,1894,6.9,1776,155,1506.8,471.4,19.4,5.6,5.5,10.7,130.5,9.1,0.85,23.9,493.9,13.3,1.8,30.7,0.097,0.55,5.2,0.038,0.13,10.2,0.004,0.17,33.6,Traces détectées,0.074,0.59,58.9,5.2,Selon composition minérale,Aucune,18.4,2025-07-16,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.3,2.5,43.4,Conforme,Conforme,Eau minérale naturelle,Aucune
Thonon,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Thonon, Alpes",Groupe régional,1957,7.4,1381,342,1049.8,218.3,88.4,37.9,7.3,54.1,76.6,17.2,0.22,27.6,64.9,0.7,0.8,2.8,0.057,0.18,7.0,0.069,0.25,6.0,0.015,0.28,23.2,Non détecté,0.034,0.99,27.3,23.6,Selon composition minérale,Aucune,15.8,2025-08-18,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.12,3.4,40.2,Conforme,Conforme,Eau minérale naturelle,Aucune
Plancoët,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Plancoët, Bretagne",Groupe régional,1917,7.5,1301,257,1040.0,215.7,82.7,26.0,5.9,45.1,57.8,6.8,0.94,33.2,574.6,2.9,9.2,20.9,0.064,0.73,4.6,0.023,0.13,0.6,0.01,0.21,23.4,Traces détectées,0.034,0.91,27.0,22.1,Selon composition minérale,Aucune,12.8,2025-07-24,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.09,1.7,63.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Celtic,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Celtic, Bretagne",Groupe régional,1985,7.2,1642,242,1226.4,405.2,12.2,48.3,8.4,64.1,125.0,13.7,1.49,20.7,1172.0,7.4,2.6,28.8,0.118,0.45,5.5,0.02,0.12,9.0,0.006,0.33,30.6,Traces détectées,0.038,1.7,50.6,3.3,Selon composition minérale,Aucune,29.9,2025-07-12,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.37,3.2,69.5,Conforme,Conforme,Eau minérale naturelle,Aucune
Alizée,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Alizée, Centre",Groupe régional,1964,7.9,308,311,275.2,23.3,26.7,23.9,4.7,32.2,10.7,0.8,1.99,26.6,1110.4,2.3,1.7,9.8,0.073,0.46,2.6,0.026,0.09,5.4,0.009,0.17,39.4,Traces détectées,0.039,0.83,2.9,7.1,Selon composition minérale,Aucune,2.5,2025-07-10,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.25,3.2,47.6,Conforme,Conforme,Eau minérale naturelle,Aucune
Treignac,Eau minérale naturelle,Très faiblement minéralisée (<50 mg/L),Non,"Source Treignac, Massif Central",Groupe régional,1956,7.7,1445,32,1200.8,286.8,72.7,10.8,4.5,25.3,89.1,2.5,0.16,5.1,198.7,1.3,0.4,2.7,0.052,0.43,2.1,0.047,0.11,3.6,0.012,0.12,24.6,Non détecté,0.043,0.33,35.9,19.4,Selon composition minérale,Aucune,21.9,2025-08-01,Laboratoire agréé ANSES,Conforme,Bouteille verre,0.24,2.6,87.1,Conforme,Conforme,Eau minérale naturelle,Aucune
Valvert,Eau minérale naturelle,Faiblement minéralisée (<500 mg/L),Non,"Source Valvert, Import",Groupe régional,1905,7.5,606,445,480.2,81.1,41.5,27.9,4.9,37.3,43.6,18.6,0.52,33.3,50.3,0.3,0.7,1.6,0.029,0.1,0.3,0.069,0.16,1.6,0.01,0.34,55.5,Non détecté,0.045,1.21,10.1,11.1,Selon composition minérale,Aucune,3.9,2025-08-03,Laboratoire agréé ANSES,Conforme,Bouteille PET recyclable,0.4,2.8,61.8,Conforme,Conforme,Eau minérale naturelle,Aucune
